Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_005915;-1.89;0.081544;-1.9;0.079147;-1.49;0.17171;-2.88;0.035998;-1.44;0.243961;-1.34;0.285711
NM_000900;1.39;0.153189;1.38;0.110622;1.25;0.26616;1.16;0.221357;1.29;0.08464;1.73;0.289035
NM_005946;-1.17;0.52662;-1.05;0.841773;1.17;0.497305;-1.42;0.194894;-2.58;0.130858;-2.12;0.024879
NM_016931;-2.15;0.167558;-2.11;0.171818;-2.51;0.136427;-2.3;0.152808;-1.48;0.502117;1.04;0.720379
NM_014625;-1.65;0.450885;-1.34;0.484197;-1.54;0.430357;-1.47;0.846006;1.3;0.869768;-1.61;0.649427
NM_000903;4.08;0.003156;1.45;0.048834;1.76;0.02333;1.84;0.037609;1.62;0.024339;1.98;0.0053
NM_000274;1.03;0.614431;1.02;0.635004;1.04;0.659812;-1.15;0.042424;1.08;0.157563;-1.01;0.955758
NM_002539;2.94;0.00085;2.02;0.026086;1.58;0.048123;3.68;0.000002;3.28;0.037333;1.34;0.170272
NM_004683;-1.46;0.533218;2.09;0.791802;1.48;0.861725;1.27;0.950458;2.71;0.504944;2.28;0.748369
NM_007008;1.03;0.73346;1.19;0.133969;1.03;0.772675;1.11;0.305043;1.21;0.113663;-1.04;0.723764
NM_005063;2.9;0.012337;2.12;0.11165;1.99;0.120398;1.22;0.619862;1.22;0.624783;1.41;0.286499
NM_003057;-1.14;0.58749;1.44;0.483896;-1.02;0.851473;-1.89;0.208077;2.34;0.095433;-1.2;0.647404
NM_003060;-1.55;0.083609;-1.31;0.17627;-1.4;0.170508;-1.36;0.164349;1.27;0.247946;-1.21;0.439223
NM_004790;1.24;0.115812;1.26;0.068314;1.06;0.616215;1.16;0.221357;1.29;0.08464;1.19;0.137568
NM_003955;1.01;0.923577;-1.4;0.257993;-1.9;0.123068;-1.23;0.612771;1.32;0.417878;-1.13;0.693017
NM_000636;1.12;0.759885;-1.72;0.191352;-2.35;0.0584;-1.33;0.426751;2.07;0.255825;-1.26;0.343537
NM_003102;-1.08;0.689049;-1.49;0.044145;-1.26;0.020377;-1.11;0.164711;1.3;0.217894;-1.27;0.016868
NM_000582;2.54;0.001687;1.41;0.0198;1.44;0.009359;1.88;0.000589;1.03;0.817051;1.99;0.005194
NM_005987;1.24;0.115812;1.26;0.068314;1.06;0.616215;1.16;0.221357;1.29;0.08464;1.19;0.137568
NM_003254;1.05;0.762513;-1.15;0.333321;-1.1;0.675606;-1.34;0.125583;1.15;0.374754;1.26;0.171251
NM_021103;1.18;0.036903;1.13;0.266806;1.14;0.058085;1.15;0.15319;1.1;0.317598;1.22;0.019592
NM_016639;1.79;0.007884;1.66;0.013576;1.09;0.613417;1.99;0.002292;1.74;0.022791;1.18;0.314033
NM_004181;2.1;0.003104;1.62;0.032349;1.3;0.208232;1.72;0.016837;1.69;0.049485;1.45;0.0632
NM_000463;1.35;0.992862;-1.08;0.652651;1.41;0.952643;-1.24;0.694131;3.67;0.318237;3.26;0.335457
NM_001078;1.43;0.302646;-1.06;0.97355;1.37;0.405125;1.12;0.684998;1.91;0.275104;1.38;0.480129
NM_003380;1.08;0.301385;1.12;0.013569;1.1;0.048789;1.24;0.063804;1.24;0.111889;1.04;0.277154
NM_001101;-1.06;0.498966;1.04;0.554784;1.14;0.057293;1.25;0.003095;-1.18;0.060659;-1.02;0.623246
NM_004048;1.02;0.89597;1.13;0.35087;-1.04;0.825448;1.1;0.412921;1.09;0.493701;1.03;0.860443
NM_002046;-1.14;0.174782;-1.19;0.048295;-1.31;0.012449;-1.45;0.004235;1.04;0.67907;-1.09;0.172583
NM_000194;-1.04;0.748424;-1.06;0.572863;-1.06;0.580988;-1.02;0.833343;-1.15;0.170148;-1.06;0.60255
NM_001002;1.24;0.014632;1.08;0.336101;1.26;0.012207;1.07;0.268264;1.2;0.116063;1.14;0.062015
