"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
36.80266	NA	NA	32.532093	NA	NA	NA
23.110182	23.347122	23.254433	22.91248	23.30964	24.14473	23.172403
21.957323	24.340649	23.628553	22.99278	24.009493	23.296036	22.790781
28.242086	28.206802	27.961784	27.889868	27.35578	28.132805	27.980389
18.182535	18.910847	18.728046	17.861603	19.967163	19.148708	18.140482
27.694578	27.288338	27.803795	28.83934	25.283974	26.697329	26.604733
17.684093	18.328114	18.347778	17.73549	17.807245	18.833147	17.803715
21.482182	20.965137	21.475935	22.757414	20.993324	21.43375	23.386265
28.971773	28.567383	26.923298	28.443264	28.27305	28.959965	28.617115
21.094585	22.621325	22.339125	21.835815	21.799135	21.288212	21.240534
21.986645	22.501858	22.30787	22.274172	22.441803	22.39884	21.72208
25.204153	26.958397	27.641308	25.862963	27.123522	25.63776	25.759861
31.813522	30.835331	29.987934	30.907854	30.278032	31.195436	30.472956
18.798286	20.009155	19.96125	19.613987	20.541842	19.903702	19.201092
33.111744	31.769417	31.114922	NA	30.887917	29.714483	38.03593
20.664446	20.115528	19.615305	19.76183	18.898087	18.951895	20.45606
19.434662	19.138435	19.598547	19.179983	18.860615	19.569807	19.42786
21.706938	22.649761	22.804838	21.892681	22.466623	22.33313	21.6824
18.574535	19.838978	19.629028	18.357788	19.894178	13.472773	18.37144
19.156261	18.000555	18.378778	18.771894	17.546587	18.45739	18.706316
19.535198	17.898827	17.975069	18.580143	17.372389	18.164965	19.474337
20.85496	22.502169	22.359957	22.01977	22.805077	23.287903	21.914091
19.662767	20.792618	20.759483	20.803705	22.973034	21.297323	19.986471
18.747074	19.112257	19.234251	18.833166	19.345022	19.421906	18.594572
20.776175	21.305475	20.479597	20.370743	19.836014	20.580421	20.398897
17.251398	16.152325	16.494816	18.414845	15.503581	15.890845	18.224491
30.200666	29.732048	32.729267	30.441994	26.643816	28.977156	31.622812
31.53962	32.773457	31.448269	31.846893	32.270702	30.446568	33.00204
24.480732	24.932087	24.43239	24.498718	24.599379	24.731403	24.447329
17.36131	18.776539	16.965397	16.707535	17.181744	17.16483	17.685015
28.680756	27.204304	26.615389	28.281984	29.088066	30.081375	27.57924
32.58141	NA	33.9686	34.489056	NA	34.626995	31.194105
36.993	38.20818	33.682304	37.24404	35.908108	39.029778	35.47915
19.138166	17.860731	16.851532	18.219383	17.384539	18.424608	18.212614
32.529938	35.14633	36.293163	35.541286	32.67692	31.6623	34.14726
21.20907	19.951056	20.801376	20.836838	20.71969	22.365025	20.233824
23.153933	22.150583	21.380062	22.184446	21.14006	21.509596	22.993069
22.634016	22.63811	22.782516	23.215162	22.747225	22.543886	22.75117
27.591839	27.638857	27.442432	27.351046	27.27607	27.22721	27.237377
35.321026	NA	38.21255	34.14405	35.130684	34.00397	36.938423
NA	38.36667	NA	NA	39.087887	33.96035	33.59148
21.96115	22.616383	22.76937	22.538132	22.649961	22.555225	22.18901
19.958677	19.535686	19.163649	18.813944	20.14029	20.72098	18.959557
28.253279	27.187267	28.108456	27.964693	27.796223	29.338566	28.336428
20.980583	21.117582	21.233051	20.869352	21.009384	21.117273	21.187094
19.715822	19.97669	20.437536	19.6611	19.988886	20.753374	19.616701
15.911247	16.540674	16.772621	15.838406	16.435514	16.827068	16.00391
24.6059	25.671242	26.718111	24.793669	26.772247	25.734234	24.510778
23.01913	20.55196	22.250809	22.478783	21.603128	22.72328	21.983238
22.728645	22.381763	22.364098	22.817356	21.893644	22.52653	22.403082
17.649271	17.321745	17.890736	18.032372	16.614594	17.737667	17.827017
20.193714	19.440622	20.238396	19.879944	19.537622	20.446266	19.706804
25.248533	20.980991	20.88947	23.331545	19.208536	21.440716	24.324074
18.97061	19.71534	19.350576	19.47593	18.450672	18.999863	19.325943
22.646156	22.512783	22.954494	22.66751	22.347834	23.40177	22.679428
32.61274	32.857994	33.475166	32.594524	32.53674	33.235676	33.691032
18.516071	16.232927	15.196214	17.838287	15.327782	15.996781	17.611834
18.216257	17.413036	17.9845	17.670088	17.275316	17.904602	17.622309
22.156528	22.569942	22.482332	22.08857	23.246593	22.178837	21.94882
35.9088	34.499313	34.606606	NA	NA	NA	33.3658
24.824984	25.710743	25.446524	24.95987	24.783772	27.448195	25.683363
34.271458	NA	NA	NA	NA	33.559544	32.162117
31.29649	33.614967	33.71516	33.790108	31.307375	32.392826	31.946522
20.238605	18.324429	20.238123	19.352362	19.223284	20.142178	19.44696
20.23915	20.371937	20.464657	19.902048	20.334219	20.392569	20.129082
20.7713	19.494253	19.739286	20.355349	18.694729	19.702122	20.769547
30.856548	32.436436	31.50762	31.692307	30.721579	32.587524	31.59371
16.679955	16.8712	16.882336	16.65857	16.423689	16.885315	16.705713
19.643568	17.764204	18.11896	18.477388	18.862078	18.452635	18.44737
28.418184	29.341002	28.395937	28.687796	29.974182	28.309893	28.838423
21.951103	22.943237	22.818417	22.410532	22.437115	22.277382	22.192005
37.9899	NA	35.49933	NA	37.235786	36.769485	NA
21.610603	21.96079	23.134247	22.503134	21.651552	21.474735	22.222176
17.72269	16.80238	17.33195	18.63464	16.710318	16.432955	17.53685
18.813301	19.342829	19.507717	19.009182	18.564528	17.958002	18.93068
15.849707	14.563345	15.754221	15.351832	14.852447	16.093163	15.180691
NA	NA	NA	NA	NA	NA	NA
21.186544	21.494675	21.925058	21.113905	21.725258	21.589298	20.97557
15.194601	15.244252	15.303288	15.000253	14.990633	15.491359	14.906884
19.969362	19.488008	19.637112	20.170753	19.103115	19.714323	19.931852
18.005136	17.424372	17.731417	17.837261	17.436161	18.126482	17.872492
28.363014	28.854069	29.891548	28.572723	28.833225	26.346085	26.712444
33.595	33.91337	33.451557	33.021587	33.83183	NA	34.967487
16.650965	16.844734	16.682835	16.487	16.419027	16.7504	16.556118
14.764057	15.140372	14.867093	14.519944	14.228656	15.115389	14.75325
15.443394	15.629805	15.651079	15.341051	15.412393	15.779346	15.468342
16.21107	16.510933	16.47822	16.404076	16.472359	15.878219	16.1321
22.558681	22.32879	22.396416	22.423004	22.170494	22.705708	22.560421
14.876211	14.801366	15.172319	14.608141	14.762846	14.944376	14.827843
34.193375	34.576992	33.78221	NA	38.284424	36.27244	39.265415
