"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
26.281397	26.143879	25.55799	25.477966	25.471773	25.84393	25.459538
32.034546	33.226177	31.665922	31.831684	32.49069	31.548517	31.582983
23.228516	23.460434	22.810917	22.611027	22.80942	22.98777	22.588152
22.1427	22.413631	22.196451	21.767654	21.64205	21.827444	21.861738
23.539942	23.728033	23.55382	23.477661	23.480232	23.809814	23.557394
19.553703	19.974533	19.667784	19.404999	19.547218	19.740898	19.697906
23.270561	23.533344	23.260292	22.868095	22.785154	22.9944	22.563005
30.108984	31.222504	30.606075	31.102682	31.65092	31.270824	31.026186
23.798038	25.156866	24.227953	23.740118	24.9686	24.661001	24.518322
22.9952	23.555716	23.449877	22.991709	23.632875	23.188166	23.440983
23.620935	23.822884	23.607965	23.780949	23.914635	23.843786	23.792255
32.56624	NA	35.846466	37.70008	NA	NA	38.439423
23.171856	23.91108	23.448164	24.131594	24.81381	24.370886	24.270805
21.420198	21.641577	21.447485	21.990936	21.540014	21.57649	21.426956
22.38078	22.738655	22.510456	22.327602	22.419523	22.080524	22.607082
28.733515	29.358198	28.965769	29.982584	30.199808	29.181124	29.126976
22.538357	23.363798	22.642284	22.421425	23.154194	22.898254	22.795073
24.842588	25.167582	24.827063	24.952599	25.255093	24.907036	25.402964
27.513231	26.202263	26.820045	26.192492	20.171871	20.830202	25.603733
28.659704	30.249876	31.155567	30.307743	25.48213	22.881443	29.976646
23.641241	23.761719	24.384052	26.143782	24.543486	21.651503	26.460634
21.882597	22.428743	22.891623	23.123234	23.982718	21.79038	23.724949
19.832233	20.856874	20.868925	21.199986	23.351366	20.289696	22.494598
26.457674	27.84135	27.445934	26.900946	27.841438	27.186493	27.626259
21.93817	25.980349	26.456282	24.576899	29.371746	23.19105	25.977669
19.76513	19.386452	19.395992	21.797346	21.529545	19.47287	22.596758
22.83696	25.591799	25.427559	23.875082	29.304478	22.711645	25.516603
23.584826	23.751581	23.77152	24.524582	24.605131	23.936108	24.38427
23.770077	22.83876	23.226833	23.555399	21.731459	23.788725	22.852522
20.670479	21.188293	21.121517	20.922884	21.968523	20.626705	21.330034
24.401224	24.977863	25.131367	25.201729	25.410894	25.717615	24.50208
22.674768	23.110407	22.65358	22.40218	22.382069	22.794373	22.73293
