"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
NA	35.50464	39.231117	38.60537	34.495537	34.54501	34.47438
23.276604	23.560524	23.78441	23.775475	23.46927	24.345184	23.576069
21.575693	24.23492	23.444054	23.753777	23.767523	23.908072	23.468842
28.434921	27.638113	27.445671	28.372137	28.171108	28.006119	27.98962
18.18896	19.664818	18.981392	18.685862	19.003834	19.893444	18.546392
28.492954	26.37973	26.75842	28.631666	26.57545	26.332205	26.94286
17.686777	18.43151	18.090574	17.944633	17.939621	18.75536	18.122662
25.46131	21.361792	21.269505	23.10469	22.406841	21.841637	25.548922
28.223986	28.95618	28.39651	29.672796	30.194382	29.93636	29.528225
21.172983	22.225124	21.981325	22.154055	22.312943	21.656666	21.817219
21.875584	22.54159	22.37592	22.708712	22.426134	22.594524	22.432615
25.817364	27.270586	27.362858	27.288311	26.97185	25.304182	26.631197
33.89897	31.210955	29.232517	30.644133	30.822943	30.618404	31.766462
18.996513	20.885979	20.399675	20.516182	20.55133	20.474052	20.158287
NA	33.436436	33.996826	38.21664	34.211796	32.295067	NA
20.261934	19.29681	19.18075	19.329998	19.533358	19.101437	19.8375
19.138771	18.967981	19.30178	19.19583	19.31779	19.750076	19.558027
22.157423	22.348528	22.77898	22.641714	23.314928	22.486685	22.7984
18.7469	21.4594	20.55891	19.8246	19.501698	19.669847	19.134493
18.585535	17.593792	17.976019	18.283663	17.791132	18.640182	18.284754
20.118773	17.315216	17.556826	18.539904	17.570211	17.87492	18.946463
21.734135	24.33233	22.75337	23.619736	23.538946	23.423277	23.235674
19.794271	22.184805	21.645376	21.40418	21.976532	21.818352	20.756748
18.96134	19.211851	19.331877	19.323908	19.234232	19.343163	18.822203
19.841745	20.228552	20.798597	20.478128	20.627813	20.788572	20.86235
16.268406	16.589382	17.323751	17.645344	17.310116	17.755232	18.155733
31.256413	30.802387	36.42157	29.938627	36.304756	29.614082	32.95575
31.8648	NA	29.950485	32.976067	31.9078	30.827753	32.705135
25.185333	24.845604	24.659954	25.144154	25.680784	25.302649	25.169102
