"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
23.91211	23.51301	23.475376	23.463568	25.084501	23.437727	23.401344
23.334148	21.841255	22.781935	23.15154	21.979752	22.810064	22.689205
24.432835	23.989264	23.827003	23.807085	24.64176	23.98075	23.31277
25.401241	25.571003	25.362988	25.409191	24.47718	25.429083	25.447647
22.166975	20.746155	21.374002	21.830378	20.431593	21.341825	21.440033
21.9262	21.975454	21.672716	21.993078	21.585379	21.777786	21.754848
25.916069	25.4479	25.46269	25.986244	25.334654	25.603716	25.589092
23.306505	23.301813	22.699636	22.768007	23.58086	22.71907	22.523514
22.090548	21.823944	21.312725	21.551077	21.78099	21.738928	21.097067
24.641148	24.137526	24.391413	24.634497	23.784266	24.292694	24.181768
22.67868	22.245417	22.187386	22.41505	22.307745	22.173563	21.918867
25.015099	24.781036	24.5852	24.658451	24.224882	24.707918	24.558811
23.166359	22.9879	22.898792	23.161648	23.667124	23.331024	22.796692
21.749508	21.175367	21.368774	21.469011	20.95879	24.150545	20.806494
25.75276	25.925999	25.148636	25.236748	25.29016	25.292109	25.137648
23.797632	23.425833	23.781313	23.844679	23.820744	23.504627	23.28574
20.354898	20.2963	19.868528	19.98807	19.504126	19.945265	19.874485
21.648436	21.19238	21.220688	21.279034	21.29407	21.276728	20.950369
22.290895	20.136833	21.790432	21.837755	21.678898	21.563484	21.538656
22.773226	21.389833	22.734331	22.301083	21.853949	22.30174	22.235907
23.548513	22.661116	22.877218	23.181822	22.43821	22.728987	22.32706
22.637966	22.588572	22.213985	22.399132	21.834133	22.497408	22.145374
26.966513	26.434341	26.611135	26.513315	27.413662	26.468863	26.170164
25.3816	25.332338	25.239552	25.675077	27.178116	25.701775	24.731453
34.13626	34.247074	33.565296	32.9193	34.528862	33.18955	32.240307
24.57528	23.807148	23.588823	23.6022	23.596527	23.915108	23.941538
25.745949	25.304626	25.27408	25.447834	25.260994	25.533413	25.674608
24.567257	24.235071	24.318115	24.508307	23.732813	24.600534	24.401434
23.214634	22.722996	22.679077	22.991842	22.722403	22.726017	22.732185
26.678993	25.229525	25.65591	25.64061	26.832563	25.726824	25.471792
26.134499	26.115238	25.741533	25.96413	25.263462	25.762526	25.720058
19.757664	19.360344	18.78771	18.829264	20.567493	18.556425	18.20163
23.906569	23.361702	23.528429	23.750002	23.015364	23.42997	23.38012
23.513676	23.387634	23.687658	23.629	22.793991	23.554632	23.352268
23.247868	23.47101	22.875078	22.905806	25.154825	23.742992	22.369877
22.982426	22.780245	22.608017	22.736164	22.44887	22.843895	22.639938
13.730842	13.443324	13.385439	13.861238	14.190551	13.503606	13.236055
18.64728	18.212132	18.183807	18.667017	17.86315	17.998514	18.207653
20.993708	20.627205	20.671339	20.807678	20.40007	20.257195	20.305618
22.628283	22.246994	22.146683	22.281889	21.814419	22.2007	21.992783
26.185112	25.442385	25.731264	25.511118	25.179203	25.681906	25.295988
22.351532	21.649391	21.64001	21.906485	21.226639	21.764715	21.66174
24.41609	24.20338	23.798468	23.621021	25.236292	23.940453	23.405777
20.27293	19.089909	18.61313	18.954231	19.508032	19.275501	18.707813
30.849625	30.47329	30.939293	30.654947	31.273067	30.62841	29.648348
29.118187	28.662249	28.940828	29.617966	27.792728	28.214153	28.27141
22.338682	22.237772	22.494532	22.687416	21.763964	22.021193	21.960052
23.112495	23.213255	23.605587	24.109	20.86776	23.961123	23.39993
21.59968	20.525877	21.22279	21.48146	19.745613	21.202084	21.219683
26.298367	24.819939	24.885406	25.213892	24.651909	25.287231	25.292683
28.534973	27.821434	28.224648	28.304247	27.5386	28.241285	27.530052
30.508774	29.814825	30.47715	30.68875	30.175531	31.406536	29.77492
26.359713	25.828384	25.77761	26.210503	25.711554	25.87753	25.64459
27.105453	26.125904	26.013157	26.738451	25.264902	26.282848	25.991278
24.865559	24.628536	24.23076	24.56534	24.370857	24.56198	24.446352
26.353914	26.075169	25.619045	26.133688	24.825062	25.837152	25.816895
22.632933	22.513718	23.00152	22.507622	21.76638	22.663136	22.487982
28.789856	28.656635	28.45815	29.018204	27.608097	28.806978	28.69537
24.745657	24.942787	24.73953	24.804522	23.889112	25.17478	24.510197
26.36135	26.006926	25.913515	26.252228	25.725058	26.18957	25.50418
23.158638	22.90171	22.812529	22.968767	23.454039	22.698948	22.629179
23.897278	22.981339	22.966358	23.421011	22.542225	23.387173	23.219234
22.753	22.51223	22.539799	22.675657	21.487154	22.545563	22.263737
26.937326	27.74575	26.95419	26.892359	25.302578	25.507824	26.398027
27.834072	27.721945	27.243187	26.770287	26.173845	27.460934	27.360699
29.71026	29.237465	28.775393	28.459959	27.408863	28.785461	28.952066
18.873203	18.39696	18.266651	18.527954	18.851503	18.468307	17.876282
25.853254	25.874172	27.327095	26.790768	29.877201	26.045527	25.362753
25.099627	24.932026	24.860104	25.01986	24.711678	24.977968	24.595478
25.254095	24.871923	25.542128	25.617476	24.285076	24.731909	24.592257
25.221245	24.825312	24.852478	25.101303	24.208542	24.65438	24.40865
24.479729	24.363247	24.545689	24.632015	23.727392	24.367712	24.427105
25.930891	25.43443	25.59114	25.863379	25.426859	25.65764	28.328754
21.398264	20.802055	20.900425	20.88912	21.335754	20.680372	20.51651
30.59343	29.49182	28.898005	29.263147	30.468493	29.281593	29.222515
31.374863	29.915012	30.30844	31.130472	30.770786	30.737528	30.274237
34.745846	34.256084	34.24549	33.61137	34.581825	34.659847	33.645195
31.4142	30.413242	31.436392	31.961119	30.997007	31.755333	30.358353
30.622154	30.467516	30.93203	31.777641	30.58543	30.675875	29.58822
25.381212	24.700897	24.679527	24.973482	24.486341	24.557447	24.704123
32.563915	32.47075	32.119675	32.56684	31.948599	31.93194	31.378897
23.436935	23.160282	23.48043	23.745245	21.96725	23.562437	23.346945
33.098568	31.426373	33.809704	33.195152	31.327705	33.503017	32.99664
35.42433	36.914078	39.08883	37.00672	35.38262	36.657753	36.52248
31.807259	31.014992	31.529179	32.516182	31.51508	31.511808	30.839582
20.620987	20.532272	20.399462	20.53077	19.66217	20.381012	20.533907
20.604198	20.259758	19.992414	20.21316	20.153814	20.016348	19.848932
23.744017	23.444231	23.369785	22.741331	22.963976	23.345068	23.193512
26.975199	26.948141	26.776194	26.945831	25.402597	26.838514	26.924618
27.009233	27.165619	26.910866	26.81808	25.859549	27.145233	27.126995
34.60448	32.74371	32.903744	32.59382	32.739983	32.935276	31.961145
23.91595	23.864218	23.56377	23.38262	23.178173	23.62629	23.377106
22.944532	22.565973	22.499554	22.617044	21.566051	22.245062	22.591824
24.156857	24.168375	24.274157	24.363783	23.585121	24.33463	23.935263
20.195642	20.27304	19.988356	20.037115	19.68792	20.090149	19.878056
24.016031	24.3052	23.770935	23.984558	22.88219	23.977285	23.792933
31.627024	30.614197	30.529774	31.56788	31.616663	31.19778	30.923038
24.892805	24.015873	23.623491	23.979717	24.015877	24.015633	23.647902
23.647413	23.225021	22.856161	22.995253	23.230858	23.274958	23.169476
24.394382	24.383606	24.522966	24.688482	24.31449	24.76534	24.415731
38.638443	35.90939	36.300133	35.781	37.5235	34.91259	31.913858
23.85341	24.044706	23.938368	24.208633	20.20672	24.548338	23.837002
22.427109	21.916405	21.998907	22.483976	21.448875	21.938118	21.883657
22.96432	22.594597	22.435074	22.666054	22.449015	22.363468	22.497608
30.617983	29.693523	29.22922	29.868704	30.483253	29.362658	28.311062
24.345394	22.957699	22.855488	23.078268	22.722084	23.346504	22.978275
25.958208	25.429771	25.630194	25.686918	25.223248	25.604155	25.324198
29.556013	27.364159	29.971455	29.900106	19.437645	20.485989	29.776848
30.339813	28.940578	29.895414	30.163582	21.44169	20.771597	29.584278
23.740648	20.760517	20.90953	23.905998	21.60763	20.157515	23.119822
22.747658	21.314445	21.881237	22.614428	22.695036	21.34408	22.016052
20.457796	19.22318	19.454128	20.093699	21.409103	19.415482	19.661976
27.31473	27.569157	26.679365	26.715208	27.42109	27.22113	26.558773
21.856306	22.849634	22.269957	21.33253	27.200283	22.392576	21.389006
20.033491	17.07592	17.906668	20.066032	18.288849	18.143177	19.190584
23.241777	23.529137	22.879997	22.878298	26.434984	22.449612	22.495625
23.808128	23.63508	23.729279	24.669054	23.59163	23.674873	23.374916
24.52457	23.683346	23.84967	24.34325	22.294735	24.174822	23.94198
21.381578	21.148064	21.1033	21.323503	21.287193	21.273544	21.212433
24.548033	25.10894	25.47397	25.180902	25.01259	25.668081	24.193073
23.550491	22.990622	23.16147	23.258375	22.454124	23.208817	23.185476
21.114002	20.458744	20.563383	20.70466	20.886366	20.338911	21.078737
23.937244	23.36094	23.713312	23.85129	22.782389	23.512222	23.307257
21.839207	21.202663	21.447752	21.73111	21.064724	21.53292	21.294216
23.36263	23.19167	23.16255	23.369886	22.524796	22.871277	22.84258
22.095173	20.976397	21.402933	21.759735	20.767443	21.46192	21.20167
23.126518	22.79086	22.865965	23.249166	22.243921	22.664257	22.79803
23.603342	23.393728	23.15319	23.602755	22.257927	22.957687	23.221996
24.432585	22.934391	22.922094	23.2114	22.945728	22.96169	22.875904
23.861225	23.606768	23.630463	23.666117	23.16267	23.693052	23.617395
23.25944	22.534409	22.496166	22.693735	22.47896	22.637486	22.360138
24.77406	24.419722	24.18078	24.535738	23.51551	24.122807	23.913017
29.26405	29.906591	30.634008	28.349247	27.832329	28.998674	28.724771
28.999935	28.108541	28.375889	28.77393	29.345558	28.180838	28.113873
29.809889	29.731247	29.459332	30.733892	30.0883	29.58873	28.96504
29.543053	29.716179	29.352673	29.621902	29.263111	29.213598	29.61732
29.98334	29.956106	29.68071	30.251772	30.35674	30.269428	29.811394
20.670393	20.713882	20.358435	20.403341	20.798084	20.498188	20.307287
23.68874	23.52648	23.574589	23.750456	23.400377	23.675497	23.29953
24.863018	24.65795	24.71085	24.895077	24.19238	24.674492	24.595617
21.351492	21.407724	21.224379	21.162786	21.710287	20.867142	20.797424
25.382288	24.846094	25.360615	25.245558	24.753645	25.355831	24.948202
23.657175	23.520185	23.709702	24.08704	22.664513	23.546106	23.334301
18.41102	18.342052	18.027084	18.128113	17.304846	18.286896	18.125761
25.964613	25.136236	25.353756	25.722395	25.66865	25.635489	25.589813
19.342302	18.19102	18.19373	18.425411	18.425947	18.377014	18.717583
30.778551	31.543833	30.833004	31.4704	31.737577	30.726715	30.902067
25.346857	25.556627	24.661339	24.820702	24.467731	24.968071	24.827291
26.863806	26.426117	26.396347	26.56278	26.466198	26.495878	26.269966
25.53292	25.110483	25.000053	24.866446	24.692202	25.217228	24.921942
24.26274	23.66834	23.808506	23.7077	23.911795	23.917027	23.84506
26.725426	25.94842	26.401035	26.770552	25.675451	26.25521	25.900434
31.566921	31.173851	31.208525	30.64378	31.766071	31.352112	30.982147
22.903305	22.213816	22.716076	22.733253	22.161764	22.678495	22.49976
25.307447	24.956736	25.338707	24.99835	25.005665	24.996248	24.548784
22.25326	21.702204	21.86021	22.116663	21.482822	21.723274	21.698652
30.505722	30.224136	30.497742	31.471457	30.48212	30.355177	29.762156
20.86937	20.762812	20.584795	20.60626	20.892456	20.787031	20.573746
18.767912	17.66841	18.855661	18.529673	21.25329	18.56144	18.208199
24.814945	24.710855	24.620188	24.700514	23.930027	24.813334	24.68409
23.207687	23.00133	23.002672	23.20957	22.221354	23.258484	23.000584
30.376923	30.655102	31.306345	31.87391	31.736681	31.90418	31.5666
21.397974	20.955036	21.198948	20.916115	21.42031	21.249697	20.911402
25.553026	25.349358	25.160002	25.088438	25.694098	25.520126	25.235868
21.906519	21.722939	21.687292	21.686996	21.498737	21.830952	21.529812
29.399597	29.584337	30.774643	29.97064	30.692644	30.265295	29.804998
22.229548	22.342432	22.607756	22.491	23.360685	22.231325	21.707905
24.409473	24.28066	24.19267	24.335047	25.375212	23.972052	24.143139
23.682655	23.371063	23.2681	22.999872	24.554665	23.44531	22.730583
34.40122	32.40321	33.884018	33.4304	33.31383	32.939423	33.22198
26.277462	25.46653	25.7359	26.137838	24.984499	25.551334	25.50742
26.696936	25.142557	24.920853	25.457737	24.526846	25.367565	25.189928
27.192245	26.823675	27.214748	27.390848	26.07692	27.111586	26.647997
25.166403	24.777225	24.682089	24.671	25.173502	24.65598	24.605371
23.613441	23.556578	22.910831	23.183582	24.122396	22.832432	22.542278
23.426188	23.441034	22.787798	23.38096	24.797348	23.211933	22.734646
20.896198	20.629993	20.554	20.566528	20.664164	20.8252	20.445127
22.970577	21.884165	22.17273	22.419073	22.39057	22.610462	22.92534
21.297052	20.869598	21.345556	21.229498	20.26977	20.733114	21.111345
19.592728	19.288725	19.28893	19.305645	19.34221	19.39459	19.181889
35.978176	35.289276	37.737747	36.60999	35.15768	37.071495	36.938786
36.710243	36.757195	35.670322	36.606163	37.613804	39.12303	35.678196
32.534126	31.83016	34.49343	35.174164	33.240658	34.35682	33.850216
25.596228	25.815096	25.72743	25.967606	25.01219	25.27298	25.387447
22.761944	22.757696	22.728172	23.243322	23.593077	22.622707	22.517693
24.478167	24.163229	23.654297	23.59456	24.266146	24.327549	23.766733
25.890715	25.379478	25.019333	25.362543	25.65514	25.172127	24.886196
21.7966	21.906528	21.703297	21.509111	21.393791	21.789055	21.672699
21.515083	21.6185	21.512901	21.540594	20.91205	21.51007	21.369804
22.908863	23.139061	22.822224	22.89641	22.505804	23.104506	22.82268
38.148605	37.33318	37.920673	37.831715	37.347652	35.86843	38.413265
28.161104	29.305197	27.80214	28.315422	27.44655	27.987732	27.67434
25.06504	23.270927	23.534931	23.355766	25.298239	23.617136	23.64142
19.797737	19.215302	19.400585	19.503103	20.662664	19.594273	19.281591
23.682644	22.856312	22.860262	23.09504	25.235682	23.186628	22.3347
24.96771	24.78454	24.329071	22.936398	23.798796	24.516142	24.606804
25.600698	25.222204	25.611673	25.693565	24.988068	25.580833	25.421839
20.602482	20.51156	20.602922	20.891443	19.471733	20.463915	20.601574
20.685163	20.463785	20.531939	20.71871	19.36874	20.24568	20.318174
19.535568	19.459482	19.350904	19.185478	19.296665	19.563969	19.108608
23.305452	22.648014	22.665138	22.920315	22.351076	22.61467	22.784157
23.374506	23.015732	22.623898	23.385195	22.393208	22.82086	23.021826
28.56868	28.088861	29.249928	27.685942	28.265308	28.649813	28.186579
28.473566	28.382158	28.369705	27.840757	27.891481	28.63035	28.540987
23.570518	22.7048	22.885672	23.125116	22.317177	22.86629	22.892904
25.796686	25.873306	25.721375	25.438599	25.706144	25.701439	25.595114
19.622808	19.136368	19.1332	19.588388	18.397015	19.216076	19.34652
21.486292	21.112118	21.018787	21.011618	19.526495	20.915304	21.016302
23.760302	23.466084	22.774622	23.35083	22.94452	23.826921	23.221928
32.477688	32.258698	32.61726	33.258102	32.231907	31.9422	32.461678
31.199062	30.752256	30.568352	32.18855	30.854683	31.256405	30.698244
23.288765	23.48994	23.271807	23.668892	22.736237	23.441439	23.377972
27.417282	27.02449	27.19664	27.304136	26.6375	27.162807	26.887245
20.923807	20.165773	20.207912	20.798058	19.206463	20.164648	20.428928
20.20583	19.827362	19.899551	20.33037	19.389843	19.885443	19.958643
23.510668	23.447346	23.573885	23.883652	22.395412	23.578651	23.536827
24.855844	24.192024	24.166605	24.305124	23.437275	24.289146	24.64735
32.91487	32.26042	32.013256	34.25335	34.6506	32.99669	33.807037
23.519747	22.980333	23.034075	23.161158	22.796839	23.40221	23.1532
22.408262	21.17365	21.950123	21.875668	21.278769	21.33094	21.393038
22.3832	21.89088	21.780893	21.777916	21.65365	22.549625	21.564247
