"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
24.214409	24.576923	24.347826	23.723248	25.494799	24.103043	23.592253
23.788082	22.238028	23.289968	22.84445	22.502739	22.987135	23.15777
24.696138	25.174383	25.636923	24.254799	25.352772	24.804363	24.324564
25.872272	25.507143	26.541323	25.59776	24.610435	25.38133	25.506577
22.269976	21.390348	22.229172	21.473825	20.942026	21.499632	21.65501
21.945463	22.44047	22.754986	22.335272	22.140837	21.691095	21.80909
26.186893	25.52764	25.855324	25.618488	25.407024	25.8846	25.89723
22.985283	24.270136	23.760672	23.404497	24.283882	22.873789	22.725634
21.711542	22.235071	21.81946	21.369596	22.431288	21.82169	21.465601
24.81929	24.528923	25.20719	24.718277	24.313858	24.574858	24.67602
22.602457	22.907866	22.952377	22.48817	22.85253	22.59759	22.531511
25.017796	25.12259	25.682545	24.856712	24.634144	24.90436	24.751
23.349033	23.629827	23.514769	22.855549	24.902014	23.791286	23.331108
21.728931	21.566477	21.93215	21.292292	21.990858	21.621466	21.460443
25.37303	26.901688	26.77488	26.283598	25.747734	25.461065	25.223665
23.726456	24.266726	23.99735	23.882725	24.65536	23.87127	23.80049
20.118362	20.631466	20.823229	20.347862	19.931643	19.990501	19.95393
21.459934	21.509212	21.68388	21.176626	21.860672	21.501846	21.385767
21.96075	20.445648	22.158625	21.55634	21.897839	21.588299	21.72923
22.396519	21.548758	23.30277	22.466595	21.764513	22.20969	22.296852
22.728136	23.282972	23.833622	23.070772	23.131002	23.013374	22.919897
22.567032	23.002754	23.101414	22.882147	22.389095	22.400005	22.14444
26.49261	27.316275	27.77818	27.160465	27.69246	26.795115	26.589458
24.894003	26.44511	26.306284	25.49555	28.413536	25.770897	25.22131
33.08338	32.251625	34.34454	32.670647	38.688858	38.387535	NA
25.266531	23.976753	24.59403	23.715714	23.87862	24.242476	24.351807
25.882032	25.704266	25.785246	25.56734	25.515059	25.251026	25.35645
25.17224	24.137146	24.5691	24.226603	24.18742	24.382315	24.398268
23.642244	23.43691	23.55939	23.187307	23.375526	23.408455	23.28387
27.314548	26.647152	27.951813	25.65651	28.4541	27.396862	26.72451
26.017601	26.414562	26.856554	26.596666	25.710173	25.905117	25.863026
20.40608	22.453823	21.829702	19.850582	23.73028	20.478249	20.259462
24.237232	23.588346	23.944323	23.362036	23.287882	23.654774	23.748636
23.89782	22.939054	23.570387	23.139755	22.89858	23.542086	23.857027
23.205645	24.584259	24.328508	22.775225	24.983246	24.249704	22.92667
23.209625	23.310276	23.362055	23.132196	22.79317	22.719349	22.826784
13.876438	14.430132	14.328416	13.866502	15.121431	14.336097	13.776853
18.822218	18.78785	18.833141	18.509508	18.958176	18.590631	18.70481
21.206398	21.648369	22.172813	21.65144	21.677374	21.14335	21.198578
