<>;2;3;4;5;6;7;8;9;10;11
A;0.0644;0.0659;0.0672;0.067;0.0646;0.0642;0.0663;0.0679;0.0666;0.0693
B;0.81910002;0.8987;1.06480002;1.63810003;0.0625;0.0612;1.15760005;1.17879999;1.01349998;1.03040004
C;0.86580002;0.92970002;1.05579996;1.52260005;0.0639;0.0617;1.16299999;1.15050006;0.90740001;0.93400002
D;0.79659998;0.82380003;1.0302;1.53779995;0.0621;0.0622;1.07260001;1.11160004;0.83579999;0.92650002
E;0.80479997;0.79479998;0.87910002;0.79149997;0.83179998;1.01339996;0.0693;0.68580002;0.7802;0.89429998
F;0.82499999;0.82260001;0.84359998;0.78060001;0.85979998;0.95709997;0.0636;0.69499999;0.83399999;0.77179998
G;0.75950003;0.7773;0.83770001;0.85030001;0.82050002;0.90750003;0.0625;0.66799998;0.7058;0.81169999
H;0.0619;0.0634;0.0636;0.0635;0.0639;0.0642;0.0633;0.0644;0.0659;0.066
