<>;2;3;4;5;6;7;8;9;10;11
A;33;37;41;50;61;100;35;42;53;59
B;5552;5771;5728;5857;71;106;5638;5738;5590;5395
C;5806;5977;5876;6103;72;107;5873;5895;5803;5519
D;5598;5875;5867;6030;66;110;5701;5685;5709;5613
E;5664;5852;5868;5977;5872;5718;40;5523;5793;5528
F;5631;5865;5868;5962;5806;5757;38;5474;5726;5561
G;5700;5879;5939;6015;5780;5685;41;5517;5679;5453
H;35;43;68;49;63;52;44;43;36;31
