<>;2;3;4;5;6;7;8;9;10;11
A;0.0637;0.0655;0.0655;0.0651;0.0662;0.0678;0.0671;0.0701;0.0687;0.0707
B;0.95349997;0.99150002;0.972;1.05089998;0.92879999;1.24609995;1.1372;1.12510002;0.99629998;0.95969999
C;0.94139999;1.04250002;0.99089998;0.97619998;1.10520005;1.48239994;1.23650002;1.26390004;0.96560001;1.02900004
D;0.91860002;0.91189998;0.89319998;0.88050002;0.99919999;1.18599999;1.20449996;1.1279;0.96170002;0.86199999
E;0.99309999;0.98659998;0.9228;0.8585;0.93040001;0.86089998;0.0593;1.84140003;1.62730002;1.14470005
F;1;1.01909995;0.91420001;0.97409999;0.96350002;0.81770003;0.066;1.7277;1.80789995;1.12679994
G;0.986;0.87290001;0.9479;0.97619998;1.00460005;0.93449998;0.0657;1.50409997;1.60189998;1.04910004
H;0.065;0.0667;0.0665;0.0667;0.0668;0.0634;0.065;0.0662;0.0653;0.0669
