Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_001509;-1.17;0.442742;-1.2;0.534174;-1.04;0.936358;-1.63;0.140454;-1.19;0.534874;-1.29;0.389605
NM_182701;-1.17;0.442742;-1.2;0.534174;-1.38;0.267363;-1.63;0.140454;-1.19;0.534874;-1.29;0.389605
NM_015696;-1.09;0.888169;-1.92;0.240063;-3.16;0.11944;-3.17;0.149323;-1.11;0.805569;-2.88;0.150372
NM_002086;-1.39;0.05291;-1.43;0.03071;-1.64;0.006891;-1.34;0.03004;-1.03;0.694962;-1.18;0.25078
NM_000847;-1.09;0.678557;-1.01;0.929923;-1.93;0.262254;-4.43;0.037181;-1.1;0.777148;-1.52;0.519616
NM_000850;-1.62;0.149866;-1.21;0.437816;-1.29;0.42286;-2.23;0.049891;-1.25;0.378368;-1.17;0.615749
NM_012205;-1.54;0.102377;-1.46;0.399496;-1.43;0.196881;-2.73;0.006224;-1.17;0.437857;-1.37;0.554645
NM_000182;-1.28;0.172137;-1.28;0.108545;-1.27;0.216212;-1.37;0.081549;-1.1;0.611202;-1.16;0.369939
NM_000183;-1.44;0.031329;-1.34;0.019427;-1.46;0.017824;-1.46;0.015274;-1.22;0.079767;-1.29;0.088701
NM_014685;-1.35;0.160987;-1.23;0.172536;-1.34;0.120752;-1.5;0.03984;-1.19;0.238616;-1.26;0.16181
NM_002124;-1.17;0.442742;-1.2;0.534174;-1.38;0.267363;-1.63;0.140454;-1.19;0.534874;-1.29;0.389605
NM_030661;-3.06;0.001568;-1.43;0.130169;-2.23;0.01837;-2.06;0.070535;-1.2;0.16762;-1.03;0.985804
NM_002151;1.22;0.540839;-1.01;0.869344;1.3;0.425459;-4.6;0.01631;-1.12;0.93696;-1.03;0.890866
NM_000613;-1.15;0.800482;-1.52;0.52767;-1.26;0.631488;-3.6;0.025527;-1.38;0.473255;-1.33;0.650985
NM_000412;-1.29;0.750196;-1.58;0.692049;-1.2;0.820933;-7.28;0.02597;-1.82;0.462243;-1.42;0.991435
NM_005526;-1.12;0.510193;-1.19;0.451438;1.2;0.547321;1.24;0.230225;1.19;0.304689;-1.02;0.845336
NM_004506;1.47;0.32188;1.29;0.592523;1.37;0.459299;-1.03;0.703544;1.02;0.882919;1.07;0.955594
NM_001017963;1.16;0.348398;1.12;0.378663;1.04;0.741355;1.32;0.007737;1.08;0.360143;-1.02;0.93305
NM_007355;-1.01;0.92441;-1.07;0.520603;-1.16;0.254368;1.29;0.041777;1.14;0.261548;1.04;0.731294
NM_003299;-1.06;0.701452;1.02;0.870532;1.15;0.302594;-1.57;0.005778;-1.34;0.034775;-1.06;0.550589
NM_005345;1.09;0.877724;-1;0.974391;1.09;0.908016;-1.21;0.546369;1;0.994908;-1.04;0.791541
NM_005346;-1.12;0.620868;-1.15;0.872295;-1.14;0.35567;-1.11;0.672566;1.07;0.706466;-1.16;0.475348
NM_005527;1.23;0.542115;-1.05;0.836798;1.04;0.755126;-2.14;0.203697;-1.87;0.307116;-1.18;0.71894
NM_021979;-1.32;0.563744;-1.09;0.503868;-1.35;0.54064;-1.9;0.057813;-1.52;0.152484;-1.41;0.111312
NM_002154;1.57;0.078159;1.32;0.305029;1.41;0.184121;1.06;0.844083;1.02;0.917713;-1.03;0.931559
NM_005347;-1.14;0.245359;-1.14;0.763879;-1.07;0.905005;-1.69;0.001991;-1.06;0.666905;-1.18;0.4907
NM_006597;1.22;0.261961;1.17;0.315272;-1.01;0.899012;1.12;0.486044;1.07;0.634815;-1.04;0.70725
NM_004134;1.19;0.452259;1.07;0.625424;1.13;0.490435;1.73;0.001664;1.17;0.27201;1.04;0.77616
NM_001540;-1.2;0.378359;1.15;0.505793;-1.17;0.361052;-1.12;0.617674;-1.14;0.721243;1.11;0.682549
NM_001541;1.39;0.595137;1.2;0.76207;-1.22;0.615606;-1.87;0.429127;-1.23;0.986084;-1.63;0.560506
NM_144617;-1.35;0.273599;-1.19;0.425444;-2.08;0.101901;-1.63;0.223667;-1.23;0.5024;-1.32;0.300038
NM_014365;-1.41;0.065948;-1.4;0.052052;-1.58;0.017305;-1.36;0.04469;-1.23;0.133078;-1.27;0.127746
NM_024610;1.07;0.607283;-1.13;0.409334;-1.1;0.438651;-1.08;0.397896;-1.11;0.149192;-1.05;0.442757
NM_002156;1.21;0.266894;1.12;0.350634;-1.05;0.74333;1.33;0.153089;1.26;0.315044;1.01;0.968126
NM_002157;1.07;0.68008;1.05;0.799365;-1.12;0.467562;-1.09;0.585943;1.05;0.783028;-1.09;0.60513
