Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_014258;1.76;0.203487;1.07;0.688952;1.41;0.352726;-1.59;0.156156;1.29;0.498055;-1.32;0.778729
NM_005639;-1.29;0.262458;-1.48;0.195637;-1.82;0.018687;-1.97;0.011747;-1.25;0.254438;-1.42;0.096908
NM_172230;-1.69;0.087057;-1.62;0.15492;-1.78;0.096939;-1.92;0.062662;-1.26;0.452772;-1.43;0.316896
NM_003186;-1.79;0.038585;-1.37;0.236502;-1.45;0.152136;-2.23;0.021293;-1.44;0.264473;-1.26;0.70693
NM_030752;1.44;0.015696;1.46;0.051779;1.35;0.119632;1.61;0.005492;1.15;0.2838;1.1;0.491675
NM_003226;1.41;0.385543;2.28;0.036526;1.27;0.52068;-1.88;0.157047;1.26;0.588116;1.14;0.805024
NM_000660;-1.03;0.84555;1.08;0.558101;1.1;0.469557;1.3;0.198212;-1.02;0.918322;1.02;0.866462
NM_001282564;1.17;0.47575;1.04;0.920699;1.01;0.957019;-1.2;0.428096;-1.11;0.822316;-1.1;0.747423
NM_000594;-1.17;0.442742;-1.2;0.534174;-1.38;0.267363;-1.27;0.758319;6.63;0.374149;-1.29;0.389605
NM_152362;-1.58;0.122248;-1.17;0.494081;-1.3;0.514969;-1.9;0.067957;1.25;0.452146;-1.09;0.698995
NM_003844;1.73;0.301068;1.42;0.617566;1.3;0.761055;1.81;0.284789;1.07;0.977194;1.21;0.826263
NM_003842;1.01;0.958372;-1.04;0.816904;1;0.895347;1.29;0.276162;-1.09;0.763395;-1.04;0.813038
NM_001065;-1.07;0.706111;-1.13;0.583345;-1.11;0.58101;-1.03;0.79029;1.04;0.934153;1.08;0.834824
NM_003810;-1.63;0.033247;-1.47;0.097678;-1.31;0.213009;-6.71;0.001082;-1.41;0.120497;-1.56;0.420716
NM_000546;-1.13;0.493027;-1.2;0.239453;-1.32;0.068661;1.24;0.309962;1.12;0.466148;-1.05;0.6649
NM_000547;-2.18;0.171242;-1.14;0.823225;1.1;0.678435;-1.3;0.631673;-1.16;0.76323;-1.19;0.558066
NM_006778;-1.74;0.059023;-1.38;0.232059;-1.37;0.139313;-3.32;0.002371;-1.13;0.600383;-1.43;0.337686
NM_006472;1.47;0.78863;1.2;0.899323;1.94;0.327804;-1.38;0.632631;1.71;0.501532;1.28;0.89337
NM_017853;-1.22;0.051285;-1.17;0.057042;-1.21;0.041403;-1.35;0.009675;-1.03;0.710646;-1.16;0.200616
NM_006440;-1.46;0.248901;-1.38;0.476552;-1.19;0.576714;-1.55;0.199307;-1.37;0.24499;-1.13;0.526827
NM_182688;-1.19;0.533805;-1.03;0.686427;-1.28;0.363818;1.14;0.869335;1.19;0.804008;1.04;0.995484
NM_194458;-1.13;0.38465;-1.11;0.304365;-1.23;0.10619;-1.04;0.720615;-1.06;0.749504;-1.43;0.243175
NM_013444;1.01;0.911585;-1.05;0.649552;-1.19;0.084033;-1.42;0.071453;-1.3;0.093228;-1.13;0.548456
NM_014607;-1.16;0.33983;-1.22;0.199667;-1.46;0.048994;-1.42;0.050272;-1.14;0.364979;-1.31;0.140428
NM_021833;-2.41;0.153542;-2.1;0.273064;1.04;0.946451;-2.38;0.155926;-1.68;0.275711;-2.43;0.144734
NM_003355;1.4;0.792679;1.41;0.773262;-1.39;0.426333;-1.58;0.387908;-1.46;0.58894;-1.25;0.701165
NM_003356;-2.5;0.34124;-2.57;0.277274;-1.75;0.376581;-1.86;0.355138;-1.02;0.808879;-1.46;0.484402
NM_000463;1.5;0.086434;1.17;0.483671;-1.39;0.133225;1.69;0.086239;3.09;0.03347;-1.38;0.148755
NM_006798;-1.88;0.376536;-1.93;0.379369;1.03;0.776353;-2.63;0.321494;-1.91;0.380408;1.19;0.998478
NM_021139;-1.09;0.94618;-1.31;0.566434;-1.71;0.17936;-3.94;0.010344;1.19;0.534467;-1.61;0.487844
NM_007126;1.11;0.609686;1.1;0.673723;1.2;0.377723;-1.05;0.71174;-1.02;0.864268;-1;0.887726
NM_017983;1.19;0.188689;-1.04;0.476087;1.11;0.50338;-1.13;0.00867;-1.09;0.135085;-1.15;0.051308
NM_005080;1.12;0.852556;-1.01;0.917616;1.23;0.5939;-1.41;0.24932;1.03;0.974199;1.03;0.975207
NM_001167;1.26;0.190671;-1;0.913826;1.09;0.535081;-1.3;0.195709;-1.09;0.92656;-1.09;0.770431
NM_000380;-1.47;0.161557;-1.18;0.29297;-1.54;0.080742;-1.58;0.069117;-1.11;0.609889;-1.02;0.936409
NM_004628;-1.46;0.270111;-1.07;0.773945;-1.35;0.331546;-1.03;0.803362;-1.09;0.650576;1.2;0.575888
NM_006297;1.1;0.466616;1.1;0.442582;1.19;0.300352;1.14;0.282029;-1.02;0.936853;1.01;0.893896
NM_021141;1.12;0.32188;1.07;0.565127;1.05;0.704848;1.01;0.893349;-1.05;0.508415;-1.05;0.661348
